prompt_id,question_id,is_correct
0,1,true
0,2,false
0,3,true
0,4,true
0,5,false
0,6,true
0,7,true
0,8,true
0,9,true
0,10,true
0,11,true
0,12,false
0,13,true
0,14,false
0,15,false
0,16,true
0,17,true
0,18,true
0,19,true
0,20,true
0,21,true
0,22,true
0,23,true
0,24,true
0,25,true
0,26,true
0,27,true
0,28,true
0,29,true
0,30,true
0,31,true
0,32,true
0,33,true
0,34,false
0,35,true
0,36,true
0,37,true
0,38,true
0,39,true
0,40,true
0,41,true
0,42,true
0,43,true
0,44,true
0,45,true
0,46,true
0,47,true
0,48,true
0,49,true
0,50,true
0,51,true
0,52,true
0,53,true
0,54,true
0,55,true
0,56,true
0,57,true
0,58,true
0,59,true
0,60,true
0,61,true
0,62,true
0,63,true
0,64,false
0,65,true
0,66,true
0,67,true
0,68,false
0,69,true
0,70,true
0,71,true
0,72,true
0,73,true
0,74,true
0,75,true
0,76,true
0,77,true
0,78,true
0,79,true
0,80,true
0,81,true
0,82,true
0,83,true
0,84,true
0,85,true
0,86,true
0,87,true
0,88,true
0,89,true
0,90,true
0,91,true
0,92,true
0,93,true
0,94,true
0,95,false
0,96,true
0,97,true
0,98,true
0,99,true
0,100,true
0,101,true
0,102,true
0,103,true
0,104,true
0,105,false
0,106,true
0,107,true
0,108,true
0,109,false
0,110,true
0,111,true
0,112,true
0,113,true
0,114,true
0,115,true
0,116,true
0,117,true
0,118,true
0,119,true
0,120,true
0,121,true
0,122,true
0,123,true
0,124,true
0,125,true
0,126,false
0,127,true
0,128,true
0,129,false
0,130,false
0,131,true
0,132,true
0,133,true
0,134,true
0,135,false
0,136,true
0,137,true
0,138,true
0,139,false
0,140,true
0,141,true
0,142,true
0,143,true
0,144,true
0,145,true
0,146,true
0,147,true
0,148,true
0,149,true
0,150,true
0,151,true
0,152,true
0,153,true
0,154,true
0,155,true
0,156,true
0,157,true
0,158,true
0,159,false
0,160,true
0,161,true
0,162,true
0,163,true
0,164,true
0,165,true
0,166,true
0,167,true
0,168,false
0,169,true
0,170,true
0,171,true
0,172,false
0,173,true
0,174,true
0,175,true
0,176,true
0,177,true
0,178,true
0,179,true
0,180,true
0,181,true
0,182,false
0,183,true
0,184,true
0,185,true
0,186,true
0,187,true
0,188,false
0,189,true
0,190,true
0,191,false
0,192,false
0,193,true
0,194,true
0,195,true
0,196,true
0,197,true
0,198,true
0,199,true
0,200,false
0,201,false
0,202,false
0,203,true
0,204,true
0,205,true
0,206,true
0,207,true
0,208,true
0,209,true
0,210,true
0,211,true
0,212,true
0,213,false
0,214,true
0,215,true
0,216,true
0,217,true
0,218,false
0,219,false
0,220,false
0,221,false
0,222,true
0,223,false
0,224,false
0,225,true
0,226,true
0,227,true
0,228,true
0,229,false
0,230,false
0,231,true
0,232,true
0,233,false
0,234,true
0,235,true
0,236,false
0,237,true
0,238,true
0,239,false
0,240,true
0,241,true
0,242,true
0,243,true
0,244,true
0,245,false
0,246,true
0,247,true
0,248,true
0,249,true
0,250,true
0,251,true
0,252,true
0,253,true
0,254,true
0,255,true
0,256,false
0,257,true
0,258,true
0,259,true
0,260,true
0,261,true
0,262,true
0,263,true
0,264,true
0,265,false
0,266,true
0,267,true
0,268,false
0,269,true
0,270,true
0,271,true
0,272,true
0,273,true
0,274,true
0,275,true
0,276,true
0,277,true
0,278,true
0,279,true
0,280,true
0,281,true
0,282,true
0,283,false
0,284,true
0,285,false
0,286,false
0,287,true
0,288,true
0,289,true
0,290,false
0,291,true
0,292,true
0,293,true
0,294,true
0,295,true
0,296,true
0,297,true
0,298,true
0,299,true
0,300,false
0,301,true
0,302,true
0,303,true
0,304,true
0,305,true
0,306,true
0,307,true
0,308,true
0,309,false
0,310,false
0,311,true
0,312,true
0,313,true
0,314,true
0,315,false
0,316,true
0,317,true
0,318,true
0,319,true
0,320,true
0,321,true
0,322,false
0,323,true
0,324,true
0,325,true
0,326,true
0,327,true
0,328,true
0,329,false
0,330,true
0,331,true
0,332,true
0,333,true
0,334,false
0,335,true
0,336,true
0,337,true
0,338,true
0,339,true
0,340,true
0,341,true
0,342,false
0,343,true
0,344,true
0,345,true
0,346,true
0,347,true
0,348,true
0,349,true
0,350,true
0,351,true
0,352,true
0,353,true
0,354,true
0,355,true
0,356,true
0,357,false
0,358,true
0,359,true
0,360,true
0,361,true
0,362,true
0,363,false
0,364,true
0,365,true
0,366,true
0,367,true
0,368,true
0,369,true
0,370,true
0,371,true
0,372,false
0,373,true
0,374,true
0,375,true
0,376,true
0,377,true
0,378,true
0,379,true
0,380,true
0,381,true
0,382,true
0,383,false
0,384,true
0,385,true
0,386,true
0,387,true
0,388,true
0,389,true
0,390,true
0,391,false
0,392,true
0,393,true
0,394,true
0,395,false
0,396,true
0,397,true
0,398,true
0,399,true
0,400,false
0,401,true
0,402,true
0,403,false
0,404,true
0,405,false
0,406,true
0,407,true
0,408,false
0,409,true
0,410,false
0,411,false
0,412,true
0,413,true
0,414,true
0,415,false
0,416,true
0,417,true
0,418,false
0,419,true
0,420,true
0,421,true
0,422,true
0,423,true
0,424,true
0,425,false
0,426,true
0,427,true
0,428,true
0,429,true
0,430,true
0,431,true
0,432,true
0,433,true
0,434,true
0,435,true
0,436,true
0,437,false
0,438,true
0,439,true
0,440,true
0,441,true
0,442,false
0,443,true
0,444,true
0,445,true
0,446,false
0,447,true
0,448,true
0,449,true
0,450,true
0,451,true
0,452,true
0,453,true
0,454,true
0,455,true
0,456,false
0,457,true
0,458,true
0,459,true
0,460,false
